molecule,aug-cc-pVDZ,aug-cc-pCVDZ,d-aug-cc-pVDZ,d-aug-cc-pCVDZ,aug-cc-pVTZ,aug-cc-pCVTZ,d-aug-cc-pVTZ,d-aug-cc-pCVTZ,aug-cc-pVQZ,aug-cc-pCVQZ,d-aug-cc-pVQZ,d-aug-cc-pCVQZ,cluster
PH3O,-0.26986432148209744,-0.3837217545496207,1.2425262786258293,1.1198176818891719,0.19884249648022922,-0.12401983533560515,0.47313556165674675,0.1492644604594656,0.13171107209820287,-0.06355212133201044,0.2288735067641004,0.022882114779894366,1
LiH,-0.9170598968860679,-1.5319978173818856,1.24016816979348,0.5856540735924738,0.10980915000985243,0.008177906906767531,0.32604020699343167,0.20529179728660932,0.006758629804832571,-0.025856176925330952,0.04843544113206075,0.02437721544532565,1
SiH3F,-0.22291667356895342,-0.19609458961878617,0.7688602268827066,0.7928941674218999,0.05744340672792894,-0.009367003150666808,0.20458261209814524,0.14249109633521662,-0.0020446429027838496,-0.030205616639237782,0.04988852823532468,0.01857449464081082,1
SO2,-1.6849064310183317,-1.830221786588165,0.8625349389094711,0.698285731530615,-0.2873157824839425,-0.6506130331422747,0.5150679025649504,0.12967123287334026,0.14124753737882917,-0.12682120734868202,0.2869922392188621,0.026768257565912522,1
LiH_s,-0.9189665118124173,-1.5333611709710024,1.2385397372633662,0.5860354504645103,0.1124270995865004,0.010960674635489975,0.3295332946964174,0.20902510458126405,0.010587795160924243,-0.022111321497321597,0.05242942655708552,0.028344170921539333,1
