molecule,aug-cc-pVDZ,aug-cc-pCVDZ,d-aug-cc-pVDZ,d-aug-cc-pCVDZ,aug-cc-pVTZ,aug-cc-pCVTZ,d-aug-cc-pVTZ,d-aug-cc-pCVTZ,aug-cc-pVQZ,aug-cc-pCVQZ,d-aug-cc-pVQZ,d-aug-cc-pCVQZ,cluster
HOCl,-5.548112035408187,-5.526127178871548,-0.6568327324307612,-0.6270287737797159,-1.4401064754129635,-1.2858664085410725,-0.14549023148174453,0.017143356044085956,-0.29473787074829355,-0.18195275358316673,-0.10164203688607103,0.006736504631231411,5
Ne,-25.297729971923438,-25.23060841734837,-1.5345963681502837,-1.4887794738750606,-9.963242705171401,-9.8983640997702,-0.26043756569800963,-0.14857385413180052,-3.440230983867989,-3.4238034175572722,0.0604564329691121,0.06841257470910497,5
ClF,-6.796747958147084,-6.7559595499525,-0.9598121669281781,-0.9112493251867979,-1.7530031206814567,-1.5442658282398845,-0.18003566969684587,0.0371405883517127,-0.3686833474112702,-0.22996277502117013,-0.11759665545132857,0.019370389401565883,5
HF,-11.136249854423157,-11.137151417925958,-0.805453919163113,-0.8197416665647874,-3.8053766621048064,-3.792070686445896,0.03569732681089164,0.029363661427546726,-1.2396622940521043,-1.2370573977795871,0.0563559346705454,0.05688283119188441,5
SF2,-5.2860635415941974,-5.274195512871381,-0.912697946458671,-0.8990111509256209,-1.3988930631015244,-1.2211306818621905,-0.12352047451007764,0.06793521918497548,-0.3574652673159264,-0.23014847001928837,-0.1043709490334757,0.020721732835518834,5
Ar,-14.270863935800957,-14.087347608640593,-2.243465059898541,-2.019424725723249,-4.78798539242629,-4.141098453428832,-0.795403485367311,-0.10296464979456124,-1.0986470910243642,-0.6276884734638775,-0.429177304613226,0.019788117500114118,5
OCl2,-4.252709615203678,-4.257333047269556,-0.5257188107736427,-0.519134685390045,-1.010119979661326,-0.8789654177610202,-0.10918180878573493,0.026765625896577907,-0.18394691991060963,-0.09155581169729606,-0.08120697339463509,0.008666944118132574,5
He,-4.677725493459782,-4.677725493459782,-0.21187298985423622,-0.21187298985423622,-2.125856072677357,-2.125856072677357,-0.019897590292614592,-0.019897590292614592,-0.6529344116814061,-0.6529344116814061,-0.0020502352947873357,-0.0020502352947873357,5
NH2Cl,-4.840598416457159,-4.814292836786524,-0.5995407741958838,-0.567812018494611,-1.2995164315626573,-1.128489545276987,-0.15858805152759975,0.019729129464050272,-0.2784883855022388,-0.14846515240510894,-0.09950592162747689,0.025984044212469467,5
HNS,-4.35503344050998,-4.301034693622052,-0.6107645878621882,-0.5546956378537636,-0.9556528587030113,-0.8335100077564944,-0.11093580142407052,0.018104196661086366,-0.22072421654831,-0.1340615502778642,-0.07576651043589422,0.008221083991347996,5
