molecule,aug-cc-pVDZ,aug-cc-pCVDZ,d-aug-cc-pVDZ,d-aug-cc-pCVDZ,aug-cc-pVTZ,aug-cc-pCVTZ,d-aug-cc-pVTZ,d-aug-cc-pCVTZ,aug-cc-pVQZ,aug-cc-pCVQZ,d-aug-cc-pVQZ,d-aug-cc-pCVQZ,cluster
CH3NH2,-0.7329498248900618,-0.8031138952528216,0.13303258033048115,0.062420318467003265,-0.11653077518684676,-0.12445209050504738,0.06460923983756942,0.055472248280945345,-0.033796121129575904,-0.0351321280254303,0.02227327043061519,0.020445510322430232,2
BeH2,0.014107887221909149,-0.03571451283643436,0.30376540579231304,0.2811213063070406,-0.03318117332923788,-0.007300677107727874,0.07511594504097575,0.103632881871398,-0.048091501146441396,-0.04719445316152788,-0.004719077037857341,-0.004592485022421543,2
CH2BH,-1.1736467313605126,-1.3123419539638201,0.30938369823568335,0.1721040663070905,-0.20787629354424284,-0.21779089662459267,0.05664949843604256,0.04679826364671282,-0.05686008807937754,-0.055396129930829055,0.012315575380368328,0.012633615213525745,2
HCONH2,-1.6906173870190524,-1.7604431064786752,0.2177914601287207,0.14376411773339873,-0.4545840523259531,-0.46804792986775967,0.08406653991828837,0.06989805831264187,-0.12220578632846966,-0.12579364649355773,0.026638125473750475,0.023327791504398072,2
SiH3Cl,-1.4986294441935102,-1.414029493442122,0.1689795869374452,0.25410641176534515,-0.4082125436738025,-0.2873120005160581,-0.07486358688831037,0.05075729505842609,-0.14817766326779544,-0.054512252270423514,-0.08867532468756628,0.003903403337758203,2
N2H4,-1.2093388550955242,-1.2885313843631934,0.12497530308332161,0.04719458729533105,-0.2144461686218407,-0.23367893645455923,0.07221727557737131,0.0544454038846788,-0.07558936757438721,-0.07757525057139379,0.013970997223242172,0.01183745429195958,2
NH3,-2.824647090478407,-2.896181244753195,0.11446696907582586,0.03226597176732559,-0.7275200049485041,-0.7560018359413393,0.06222249379890819,0.04110617076317958,-0.27738007847743246,-0.2788661477461658,-0.010000922534144781,-0.01377909766397718,2
LiCN,-0.922409817537426,-0.8802789317028205,0.04724956948645972,-0.08085299304451093,-0.08919501296302022,-0.07069792105900763,0.02216755306918178,0.02574826387617373,-0.0031209935343022846,0.004294256725250197,0.019566199292761297,0.021981999145199074,2
CH4,-0.7596853480644656,-0.8442657296901607,0.13577542931992795,0.05519090636106952,-0.10021907975769774,-0.09730343878508516,0.058100500155525085,0.05433788778866376,-0.0250517791519125,-0.021845650484506294,0.022366161230747052,0.020121369673848366,2
