molecule,aug-cc-pVDZ,aug-cc-pCVDZ,d-aug-cc-pVDZ,d-aug-cc-pCVDZ,aug-cc-pVTZ,aug-cc-pCVTZ,d-aug-cc-pVTZ,d-aug-cc-pCVTZ,aug-cc-pVQZ,aug-cc-pCVQZ,d-aug-cc-pVQZ,d-aug-cc-pCVQZ,cluster
Li2,0.73883080198144,0.4749772277863088,0.936685453387966,0.49177808648906385,-0.0029920096626601554,-0.0515388417024553,0.06725384881072838,0.00218705637797477,0.032646453423300234,0.006410554514948134,0.037140875395070175,0.013122984618571911,0
SiH4,0.6375831142293953,0.6505791226837352,1.126296288053477,1.13769312609688,0.29091366066090685,0.1593983527052693,0.2978982736981298,0.17658073085503823,0.06674083039822122,-0.002661284049590311,0.09975512065699156,0.028445689717720143,0
BH3,0.2656721839365202,0.1876219859732105,0.40989675549746396,0.3328043056689319,0.01923886938311275,0.03101437370336942,0.045589493066655176,0.058421190324955095,0.005710598353316341,0.005041657597669137,0.023061325861403335,0.020457246325642022,0
CH3BH2,0.06373444196133937,-0.034818421975173035,0.2978806264951667,0.20304708216526882,0.008267137210119473,0.013627732340752234,0.04932564753212719,0.05268116264482976,0.00831472139818585,0.007052157843712957,0.021117160097319534,0.01837344469580113,0
NaLi,0.6003934052584381,0.3244778621676026,0.8001482124426557,0.3826381702388288,0.3886836658203609,0.04335109993942694,0.4036451126579831,0.06087267452423887,0.3543941365700845,0.015945575547575135,0.3507136326011715,0.020734906010543362,0
Na2,0.688480118855902,0.4585617532155868,0.8295330573491457,0.45453210727231885,0.4588461978893917,0.019809452211904763,0.5032143464964635,0.055209198199327465,0.5044224249546734,0.03323483555449066,0.4951202696937556,0.031492843704516243,0
NaH,1.473114649350844,1.275419871107916,2.8565868583950587,2.265121370481495,1.8997442377311144,0.32608820514199055,2.2169677257928515,0.6227430801701311,1.7102822390459436,0.1002084341350336,1.703071917830573,0.15196630149625917,0
LiBH4,0.7555047916922586,0.6512513024701888,0.9370899842623959,0.8360895766417858,0.06923679140706314,0.07031548031646506,0.1289237074444882,0.12941089543350898,0.03163313690150895,0.03309592027126243,0.0462478409690452,0.04427711075870224,0
