molecule,aug-cc-pVDZ,aug-cc-pCVDZ,d-aug-cc-pVDZ,d-aug-cc-pCVDZ,aug-cc-pVTZ,aug-cc-pCVTZ,d-aug-cc-pVTZ,d-aug-cc-pCVTZ,aug-cc-pVQZ,aug-cc-pCVQZ,d-aug-cc-pVQZ,d-aug-cc-pCVQZ,cluster
CH3SH,-3.0778670526927097,-3.0627451089858395,-0.4847958488729613,-0.46614092385853834,-0.8237381360298229,-0.6830879119331839,-0.16981867220291222,-0.02409953111551606,-0.249961895384069,-0.14914656146690658,-0.09417586572228927,0.004604977277329148,4
Cl2,-5.79413452157242,-5.742309923088717,-0.9798490578003858,-0.9082371276447655,-1.4368780261355985,-1.1774724657049738,-0.33570860065516883,-0.051687569662067605,-0.29274219128395307,-0.10165147479580033,-0.20103879279581424,-0.017257957774097384,4
SiO,-2.073786006881407,-2.0153171151365568,-0.7975499257183827,-0.7385574139396642,-0.55012523637495,-0.3436830917542739,-0.28126947284171844,-0.08480749967964143,-0.222898352359371,-0.06506858965269482,-0.14417881735645346,0.0023077622816681975,4
Mg,-1.5191632684333143,-1.1422932130210324,-1.3737253588661227,-0.9966275892034742,-0.7178848769405605,-0.2038919313133116,-0.708395634829714,-0.19180400847051052,-0.49306396962115184,-0.01789010507331505,-0.4962170353983112,-0.02255776288452578,4
HBS,-2.766751297396609,-2.693960132815734,-0.6751503593227806,-0.6010467956259851,-0.5470979639189518,-0.3376255335035304,-0.2424870563478951,-0.029680101460931058,-0.17569114726388774,-0.03151314580024793,-0.14837381915452882,-0.003375006537622511,4
BH2Cl,-2.5379118522120674,-2.4591676459895746,-0.6500203243719783,-0.5693188451449956,-0.7090273513683574,-0.4525113966514952,-0.3019339102479487,-0.04135257036323522,-0.2238178885160747,-0.05635907587341569,-0.17866167992386447,-0.011107255029348418,4
P2H4,-1.392479836537403,-1.4001377331121532,-0.11523555752591536,-0.12344862316210291,-0.25734342237582986,-0.21372494754214313,-0.07732371897166862,-0.029915460463703296,-0.08540949235409546,-0.0502491185930541,-0.04557362838381533,-0.012839568706672942,4
NaCN,-2.8229013240050853,-2.078913128142876,-1.5293232182921728,-1.2457363215886963,-1.3253260935806275,-0.49348511557274377,-1.1186471310782602,-0.33510509655449966,-0.9672126886281055,-0.11499480513983831,-0.8689102760873664,-0.08622903642087844,4
P2,-2.949995745556817,-2.8598505136900054,-1.1090967180227487,-1.0106456128911776,-0.5408710104749801,-0.35471752586465116,-0.22962159822465822,-0.036958379531385185,-0.16155403990211095,-0.02528205875945996,-0.13768206189850754,-0.003190345949794631,4
CH3Cl,-4.300210513748708,-4.254000362416257,-0.8431217060247234,-0.7870977282172078,-1.2427646775020338,-1.0209698259981626,-0.27649803362382,-0.04894973370280607,-0.33064555981233756,-0.17392581270537233,-0.15487913298469497,0.0007045702898524532,4
SCl2,-4.014551348084325,-3.976240759264115,-0.8303863149534999,-0.7774995178416702,-0.9765287167705454,-0.7367102045003386,-0.2822568535837366,-0.029861683213465978,-0.22574977329453097,-0.05649664713752798,-0.14952961010289034,0.01865909255492477,4
BF,-1.8684952184237102,-1.924673522502682,-0.9110070647329512,-0.977881871408365,-0.37652620098425776,-0.3088263846911621,-0.10656439608341152,-0.08717950173942085,-0.052115564042722606,-0.05319244588724003,-0.002843315752290333,-0.005642108145748866,4
CS,-3.0880736540819838,-2.9841794030162716,-1.020502019318521,-0.904410969462769,-0.5244485301888997,-0.28203589837988774,-0.25211014373377083,-0.006484029112106219,-0.145573289145979,0.018273348896322917,-0.1399629187838677,0.0200581581935286,4
S2H2,-3.9439664804560017,-3.8989460565246823,-0.7294673990266959,-0.6789547334354775,-0.9404262680718187,-0.750147534910677,-0.27236423982161334,-0.07155949266174035,-0.26137266328751685,-0.1197471405624188,-0.15194186067813945,-0.014888775843373347,4
NaCl,-8.284824022686612,-7.145016627979868,-2.148121194141313,-1.6115016544986989,-2.431428683695198,-1.6245527854494453,-1.092318312370006,-0.3282139099363938,-1.0357735727724973,-0.27302721409222946,-0.8078521789882371,-0.0861958233458859,4
LiCl,-6.366967336557981,-5.942150347737134,-0.9209438263477501,-0.8553704455144387,-1.280881287297664,-1.0145204052665142,-0.3213021132589668,-0.05851949267251306,-0.3417080015554686,-0.16250927545024962,-0.18310886052778874,-0.005386564071523619,4
O3,-3.969289736428014,-3.8908159361464794,-0.6049439649750858,-0.534235499820099,-1.0325489139508264,-1.027125765735946,-0.018745773886669367,-0.012568643925537675,-0.2589228841453177,-0.2522646096831404,-0.04449221040432051,-0.040095550299477194,4
ClCN,-3.4559811786809216,-3.3743674535619808,-0.9911006394863834,-0.907451579067807,-0.8353393795306481,-0.5135261376511977,-0.39420004450946555,-0.06733873231509896,-0.27901119692822496,-0.04811439190801276,-0.2305777122946914,-0.003917565651204393,4
Mg2,-1.430021142444418,-1.0714293387283302,-1.2536877896732794,-0.8942712427558311,-0.6923970795871431,-0.19904417290397314,-0.6615952636071571,-0.16926949124419002,-0.5029572963682853,-0.05380382634854922,-0.49939732116894736,-0.05364617611818556,4
Be,-3.155803519876547,-2.9245597653262196,-2.910667607006358,-2.680316276638009,-0.8753567394230021,-0.7292907783184895,-0.838538817617583,-0.6863519225828179,-0.19766765674350054,-0.1759454674753651,-0.18546442771548743,-0.16345018367390268,4
HCl,-9.062928187999391,-8.959026267175998,-1.2973988388223257,-1.1770149873715627,-2.705173712157293,-2.3713115694824567,-0.413124156110313,-0.059441657149111544,-0.6371718370544112,-0.39204019795419964,-0.23719175479011423,-0.00436005742436577,4
HCCCl,-3.590204648053868,-3.5681547470977972,-1.068883535746508,-1.040040631145936,-0.8652790066975063,-0.5550908708500779,-0.39860997168468915,-0.08312003251498197,-0.29270343625477135,-0.07201017250433348,-0.2275682206688728,-0.008677837690375058,4
HCHS,-3.9042440828751204,-3.851202162345428,-0.7312356119149672,-0.6730375707481793,-0.8997713927518296,-0.7394790307392408,-0.19017556879101824,-0.022430058251802998,-0.2428558948869319,-0.12216358755602053,-0.11365890637046554,0.002031461041739091,4
SH2,-6.101539051534259,-6.048959127158377,-0.6729193840787937,-0.6136938845707023,-1.6061908812185313,-1.4221482161328431,-0.23420948846686768,-0.03487453212073655,-0.4268272039014964,-0.2845512725841165,-0.13913344604045197,-0.005058588328061565,4
CSO,-3.5483671242118513,-3.448268469137795,-0.9059898342120808,-0.8005234452384454,-0.7747201890152408,-0.48134405756524445,-0.3222117692650581,-0.029315258335999357,-0.22902118301190702,-0.02944650023419137,-0.19713674553242694,-0.0016664251694754227,4
HCP,-2.7757437418010107,-2.7620315878258794,-0.5723760041034803,-0.5538848470251435,-0.5402768253856163,-0.41038972725766815,-0.15415533340127283,-0.028045976975639816,-0.14238879361968226,-0.05699326761369013,-0.08649935822082153,-0.00050694006582583,4
NOCl,-3.905026221401167,-3.8353468677054767,-0.5857487242657807,-0.5146484288091893,-1.0234932562780052,-0.8673373795156168,-0.18482084870417476,-0.023384748414131913,-0.2121121351715728,-0.09792220426488323,-0.11079741492398389,0.001573106746962116,4
