,b,c,basis,molecule,Beta
125,0,0,aug-cc-pCVDZ,Na2,0.9195120000000001
126,0,0,aug-cc-pCVDZ,NaCN,29.401595999999998
127,0,0,aug-cc-pCVDZ,NaCl,163.0902
128,0,0,aug-cc-pCVDZ,NaH,713.016
129,0,0,aug-cc-pCVDZ,NaLi,-543.9408
130,0,0,aug-cc-pCVDZ,O3,-4.09776
131,0,0,aug-cc-pCVDZ,OCl2,15.14118
132,0,0,aug-cc-pCVDZ,OF2,-2.8110419999999996
133,0,0,aug-cc-pCVDZ,P2H4,27.78306
134,0,0,aug-cc-pCVDZ,PH3,-13.672780824
135,0,0,aug-cc-pCVDZ,PH3O,30.650556084
136,0,0,aug-cc-pCVDZ,S2H2,0.982452
137,0,0,aug-cc-pCVDZ,SCl2,-17.015700000000002
138,0,0,aug-cc-pCVDZ,SF2,-20.87436
139,0,0,aug-cc-pCVDZ,SH2,2.85915
140,0,0,aug-cc-pCVDZ,SO2,16.99866
141,0,0,aug-cc-pCVDZ,SiH3Cl,30.36114
142,0,0,aug-cc-pCVDZ,SiH3F,-18.095760000000002
143,0,0,aug-cc-pCVDZ,SiH4,0.0
144,0,0,aug-cc-pCVDZ,SiO,70.6224
145,0,0,aug-cc-pCVQZ,BF,38.3895
146,0,0,aug-cc-pCVQZ,BH2Cl,28.22472
147,0,0,aug-cc-pCVQZ,BH2F,20.34846
148,0,0,aug-cc-pCVQZ,BH3,0.0
149,0,0,aug-cc-pCVQZ,BHF2,-17.47788
150,0,0,aug-cc-pCVQZ,CH2BH,70.51320000000001
151,0,0,aug-cc-pCVQZ,CH2NH,-13.921546020000001
152,0,0,aug-cc-pCVQZ,CH3BH2,-3.7946040000000005
153,0,0,aug-cc-pCVQZ,CH3Cl,2.765094
154,0,0,aug-cc-pCVQZ,CH3F,17.126160000000002
155,0,0,aug-cc-pCVQZ,CH3NH2,2.6808054
156,0,0,aug-cc-pCVQZ,CH3OH,-15.239448000000001
157,0,0,aug-cc-pCVQZ,CH3SH,-18.444366
158,0,0,aug-cc-pCVQZ,CO,18.92976
159,0,0,aug-cc-pCVQZ,CS,28.654980000000002
160,0,0,aug-cc-pCVQZ,CSO,20.44932
161,0,0,aug-cc-pCVQZ,ClCN,14.17956
162,0,0,aug-cc-pCVQZ,ClF,-30.548699999999997
163,0,0,aug-cc-pCVQZ,FCN,-23.692379999999996
164,0,0,aug-cc-pCVQZ,FNO,0.9611531999999999
